"Step","desert-sky-552 - latency/qsoload_q2-001","desert-sky-552 - latency/qsoload_q2-001__MIN","desert-sky-552 - latency/qsoload_q2-001__MAX"
"123","60","60","60"
"354","33.279506999999995","33.279506999999995","33.279506999999995"
"652","21.667291000000002","21.667291000000002","21.667291000000002"
"944","45.863017","45.863017","45.863017"
"1223","60","60","60"
"1519","60","60","60"
"1815","60","60","60"
"2059","60","60","60"
"2277","60","60","60"
"2489","60","60","60"
"2688","32.240006","32.240006","32.240006"
"2986","12.207840000000001","12.207840000000001","12.207840000000001"
"3239","20.516212","20.516212","20.516212"
"3537","60","60","60"
"3833","18.276080999999998","18.276080999999998","18.276080999999998"
"4112","58.380409","58.380409","58.380409"
"4389","60","60","60"
"4655","60","60","60"
"4951","33.880072999999996","33.880072999999996","33.880072999999996"
"5204","60","60","60"
"5468","6.226523","6.226523","6.226523"
"5721","60","60","60"
"6017","60","60","60"
"6255","60","60","60"
"6551","30.9946","30.9946","30.9946"
"6823","60","60","60"
"7054","15.016655","15.016655","15.016655"
"7281","51.828342","51.828342","51.828342"
"7560","6.799728","6.799728","6.799728"
"7858","3.060701","3.060701","3.060701"
"8085","13.462429","13.462429","13.462429"
"8331","23.562949","23.562949","23.562949"
"8590","60","60","60"
"8828","51.375309","51.375309","51.375309"
"9035","23.537272","23.537272","23.537272"
"9249","22.790592","22.790592","22.790592"
"9495","24.100727","24.100727","24.100727"
"9715","35.762459","35.762459","35.762459"
"9935","59.149419","59.149419","59.149419"
"10220","36.324255","36.324255","36.324255"
"10473","3.27125","3.27125","3.27125"
"10771","60","60","60"
"10970","30.203004","30.203004","30.203004"
"11203","52.15612","52.15612","52.15612"
"11430","41.180715","41.180715","41.180715"
"11644","60","60","60"
"11871","3.706711","3.706711","3.706711"
"12078","60","60","60"
"12376","7.296112","7.296112","7.296112"
"12616","6.1710519999999995","6.1710519999999995","6.1710519999999995"
