"Step","desert-sky-552 - latency/qsoload_q16-002","desert-sky-552 - latency/qsoload_q16-002__MIN","desert-sky-552 - latency/qsoload_q16-002__MAX"
"119","60","60","60"
"350","60","60","60"
"648","16.759691999999998","16.759691999999998","16.759691999999998"
"940","3.7156260000000003","3.7156260000000003","3.7156260000000003"
"1219","28.138343","28.138343","28.138343"
"1515","36.482324","36.482324","36.482324"
"1811","8.113363","8.113363","8.113363"
"2055","7.579596","7.579596","7.579596"
"2273","2.806538","2.806538","2.806538"
"2485","0.962386","0.962386","0.962386"
"2684","1.331433","1.331433","1.331433"
"2982","15.992966000000001","15.992966000000001","15.992966000000001"
"3235","0.938812","0.938812","0.938812"
"3533","12.634812","12.634812","12.634812"
"3829","1.2851780000000002","1.2851780000000002","1.2851780000000002"
"4108","1.2661179999999999","1.2661179999999999","1.2661179999999999"
"4385","60","60","60"
"4651","54.075663999999996","54.075663999999996","54.075663999999996"
"4947","4.478085","4.478085","4.478085"
"5200","2.543655","2.543655","2.543655"
"5464","2.3479929999999998","2.3479929999999998","2.3479929999999998"
"5717","0.870057","0.870057","0.870057"
"6013","0.794592","0.794592","0.794592"
"6251","60","60","60"
"6547","1.5915219999999999","1.5915219999999999","1.5915219999999999"
"6819","1.684528","1.684528","1.684528"
"7050","7.83366","7.83366","7.83366"
"7277","9.197115","9.197115","9.197115"
"7556","4.989955","4.989955","4.989955"
"7854","4.2341880000000005","4.2341880000000005","4.2341880000000005"
"8081","9.002319","9.002319","9.002319"
"8327","5.871061","5.871061","5.871061"
"8586","7.13913","7.13913","7.13913"
"8824","31.11244","31.11244","31.11244"
"9031","3.614513","3.614513","3.614513"
"9245","1.529279","1.529279","1.529279"
"9491","2.094514","2.094514","2.094514"
"9711","2.3506080000000003","2.3506080000000003","2.3506080000000003"
"9931","4.845356","4.845356","4.845356"
"10216","2.393786","2.393786","2.393786"
"10469","2.6866399999999997","2.6866399999999997","2.6866399999999997"
"10767","2.380261","2.380261","2.380261"
"10966","2.2887199999999996","2.2887199999999996","2.2887199999999996"
"11199","2.455163","2.455163","2.455163"
"11426","2.363922","2.363922","2.363922"
"11640","2.691514","2.691514","2.691514"
"11867","1.6353710000000001","1.6353710000000001","1.6353710000000001"
"12074","60","60","60"
"12372","1.9255419999999999","1.9255419999999999","1.9255419999999999"
"12612","0.8915879999999999","0.8915879999999999","0.8915879999999999"
