"Step","desert-sky-552 - latency/qsoload_q3-001","desert-sky-552 - latency/qsoload_q3-001__MIN","desert-sky-552 - latency/qsoload_q3-001__MAX"
"128","32.849389","32.849389","32.849389"
"359","28.186225","28.186225","28.186225"
"657","29.002307000000002","29.002307000000002","29.002307000000002"
"949","44.380504","44.380504","44.380504"
"1228","60","60","60"
"1524","60","60","60"
"1820","60","60","60"
"2064","60","60","60"
"2282","32.263386","32.263386","32.263386"
"2494","60","60","60"
"2693","60","60","60"
"2991","58.730138","58.730138","58.730138"
"3244","21.789413","21.789413","21.789413"
"3542","60","60","60"
"3838","60","60","60"
"4117","30.122883","30.122883","30.122883"
"4394","49.920845","49.920845","49.920845"
"4660","60","60","60"
"4956","32.248477","32.248477","32.248477"
"5209","60","60","60"
"5473","60","60","60"
"5726","60","60","60"
"6022","60","60","60"
"6260","60","60","60"
"6556","60","60","60"
"6828","60","60","60"
"7059","60","60","60"
"7286","12.059731","12.059731","12.059731"
"7565","6.403049","6.403049","6.403049"
"7863","10.253497","10.253497","10.253497"
"8090","51.785379999999996","51.785379999999996","51.785379999999996"
"8336","60","60","60"
"8595","60","60","60"
"8833","60","60","60"
"9040","60","60","60"
"9254","24.784599999999998","24.784599999999998","24.784599999999998"
"9500","41.992497","41.992497","41.992497"
"9720","60","60","60"
"9940","20.771116999999997","20.771116999999997","20.771116999999997"
"10225","50.508959000000004","50.508959000000004","50.508959000000004"
"10478","46.614432","46.614432","46.614432"
"10776","60","60","60"
"10975","60","60","60"
"11208","60","60","60"
"11435","49.998022","49.998022","49.998022"
"11649","16.953079000000002","16.953079000000002","16.953079000000002"
"11876","14.658631","14.658631","14.658631"
"12083","28.014439","28.014439","28.014439"
"12381","25.764616","25.764616","25.764616"
"12621","57.827867","57.827867","57.827867"
