"Step","desert-sky-552 - latency/qsoload_q14-003","desert-sky-552 - latency/qsoload_q14-003__MIN","desert-sky-552 - latency/qsoload_q14-003__MAX"
"110","60","60","60"
"341","38.51802","38.51802","38.51802"
"639","45.270050000000005","45.270050000000005","45.270050000000005"
"931","60","60","60"
"1210","25.027495","25.027495","25.027495"
"1506","55.472864","55.472864","55.472864"
"1802","60","60","60"
"2046","32.107943","32.107943","32.107943"
"2264","31.309189999999997","31.309189999999997","31.309189999999997"
"2476","60","60","60"
"2675","60","60","60"
"2973","24.470602","24.470602","24.470602"
"3226","33.145107","33.145107","33.145107"
"3524","37.339065999999995","37.339065999999995","37.339065999999995"
"3820","26.803622999999998","26.803622999999998","26.803622999999998"
"4099","29.435515","29.435515","29.435515"
"4376","60","60","60"
"4642","9.283577","9.283577","9.283577"
"4938","13.485136","13.485136","13.485136"
"5191","2.654627","2.654627","2.654627"
"5455","60","60","60"
"5708","60","60","60"
"6004","60","60","60"
"6242","60","60","60"
"6538","60","60","60"
"6810","60","60","60"
"7041","7.324071","7.324071","7.324071"
"7268","8.396297","8.396297","8.396297"
"7547","60","60","60"
"7845","3.5339389999999997","3.5339389999999997","3.5339389999999997"
"8072","2.79364","2.79364","2.79364"
"8318","60","60","60"
"8577","5.1996210000000005","5.1996210000000005","5.1996210000000005"
"8815","4.796277","4.796277","4.796277"
"9022","6.468964","6.468964","6.468964"
"9236","8.269486","8.269486","8.269486"
"9482","4.451488","4.451488","4.451488"
"9702","6.138711","6.138711","6.138711"
"9922","6.266704","6.266704","6.266704"
"10207","60","60","60"
"10460","4.884262","4.884262","4.884262"
"10758","1.79078","1.79078","1.79078"
"10957","9.049729","9.049729","9.049729"
"11190","6.148439000000001","6.148439000000001","6.148439000000001"
"11417","1.740895","1.740895","1.740895"
"11631","1.253133","1.253133","1.253133"
"11858","6.537775","6.537775","6.537775"
"12065","3.2239769999999996","3.2239769999999996","3.2239769999999996"
"12363","60","60","60"
"12603","60","60","60"
