"Step","desert-sky-552 - latency/qsoload_q8-001","desert-sky-552 - latency/qsoload_q8-001__MIN","desert-sky-552 - latency/qsoload_q8-001__MAX"
"153","13.127576","13.127576","13.127576"
"384","14.955386","14.955386","14.955386"
"682","10.693178","10.693178","10.693178"
"974","15.898176","15.898176","15.898176"
"1253","4.822398","4.822398","4.822398"
"1549","1.648806","1.648806","1.648806"
"1845","12.797527","12.797527","12.797527"
"2089","30.01066","30.01066","30.01066"
"2307","20.698932","20.698932","20.698932"
"2519","0.991239","0.991239","0.991239"
"2718","9.709993","9.709993","9.709993"
"3016","18.825836","18.825836","18.825836"
"3269","60","60","60"
"3567","60","60","60"
"3863","55.172968","55.172968","55.172968"
"4142","39.068099000000004","39.068099000000004","39.068099000000004"
"4419","2.006183","2.006183","2.006183"
"4685","19.810674","19.810674","19.810674"
"4981","0.134355","0.134355","0.134355"
"5234","1.864842","1.864842","1.864842"
"5498","2.041923","2.041923","2.041923"
"5751","0.17148","0.17148","0.17148"
"6047","17.78952","17.78952","17.78952"
"6285","2.275265","2.275265","2.275265"
"6581","11.926799","11.926799","11.926799"
"6853","0.075636","0.075636","0.075636"
"7084","10.718455","10.718455","10.718455"
"7311","60","60","60"
"7590","0.33573000000000003","0.33573000000000003","0.33573000000000003"
"7888","0.303239","0.303239","0.303239"
"8115","0.32984399999999997","0.32984399999999997","0.32984399999999997"
"8361","0.40010199999999996","0.40010199999999996","0.40010199999999996"
"8620","7.6514560000000005","7.6514560000000005","7.6514560000000005"
"8858","0.16500499999999999","0.16500499999999999","0.16500499999999999"
"9065","0.09067700000000001","0.09067700000000001","0.09067700000000001"
"9279","0.079783","0.079783","0.079783"
"9525","0.068103","0.068103","0.068103"
"9745","0.070194","0.070194","0.070194"
"9965","0.072462","0.072462","0.072462"
"10250","0.070305","0.070305","0.070305"
"10503","0.079401","0.079401","0.079401"
"10801","0.08165900000000001","0.08165900000000001","0.08165900000000001"
"11000","0.053616","0.053616","0.053616"
"11233","0.083826","0.083826","0.083826"
"11460","0.074881","0.074881","0.074881"
"11674","0.053863999999999995","0.053863999999999995","0.053863999999999995"
"11901","0.095399","0.095399","0.095399"
"12108","18.636875","18.636875","18.636875"
"12406","60","60","60"
"12646","0.09586700000000001","0.09586700000000001","0.09586700000000001"
