"Step","desert-sky-552 - latency/qsoload_q4-004","desert-sky-552 - latency/qsoload_q4-004__MIN","desert-sky-552 - latency/qsoload_q4-004__MAX"
"136","9.868985","9.868985","9.868985"
"367","21.774684","21.774684","21.774684"
"665","2.536731","2.536731","2.536731"
"957","7.99279","7.99279","7.99279"
"1236","60","60","60"
"1532","10.096967000000001","10.096967000000001","10.096967000000001"
"1828","17.11934","17.11934","17.11934"
"2072","5.010355","5.010355","5.010355"
"2290","1.323989","1.323989","1.323989"
"2502","4.729479","4.729479","4.729479"
"2701","6.8253379999999995","6.8253379999999995","6.8253379999999995"
"2999","6.439546","6.439546","6.439546"
"3252","16.520092","16.520092","16.520092"
"3550","8.290682","8.290682","8.290682"
"3846","15.753415","15.753415","15.753415"
"4125","6.440517","6.440517","6.440517"
"4402","7.050955","7.050955","7.050955"
"4668","20.370737000000002","20.370737000000002","20.370737000000002"
"4964","20.726044","20.726044","20.726044"
"5217","6.636212","6.636212","6.636212"
"5481","53.911685","53.911685","53.911685"
"5734","0.073865","0.073865","0.073865"
"6030","0.29723","0.29723","0.29723"
"6268","3.343982","3.343982","3.343982"
"6564","2.773663","2.773663","2.773663"
"6836","0.055156","0.055156","0.055156"
"7067","0.353428","0.353428","0.353428"
"7294","0.044357","0.044357","0.044357"
"7573","0.042183","0.042183","0.042183"
"7871","0.064014","0.064014","0.064014"
"8098","0.044162","0.044162","0.044162"
"8344","1.272257","1.272257","1.272257"
"8603","0.11909900000000001","0.11909900000000001","0.11909900000000001"
"8841","0.192388","0.192388","0.192388"
"9048","1.574763","1.574763","1.574763"
"9262","3.0332399999999997","3.0332399999999997","3.0332399999999997"
"9508","0.093866","0.093866","0.093866"
"9728","0.091971","0.091971","0.091971"
"9948","1.939647","1.939647","1.939647"
"10233","0.047655","0.047655","0.047655"
"10486","0.042954","0.042954","0.042954"
"10784","0.09781100000000001","0.09781100000000001","0.09781100000000001"
"10983","0.043801","0.043801","0.043801"
"11216","0.073865","0.073865","0.073865"
"11443","0.044357","0.044357","0.044357"
"11657","0.064014","0.064014","0.064014"
"11884","0.055156","0.055156","0.055156"
"12091","0.056104","0.056104","0.056104"
"12389","2.979844","2.979844","2.979844"
"12629","0.044197","0.044197","0.044197"
