"Step","desert-sky-552 - latency/qsoload_q7-003","desert-sky-552 - latency/qsoload_q7-003__MIN","desert-sky-552 - latency/qsoload_q7-003__MAX"
"150","8.644243000000001","8.644243000000001","8.644243000000001"
"381","5.08992","5.08992","5.08992"
"679","1.631452","1.631452","1.631452"
"971","0.695529","0.695529","0.695529"
"1250","1.254633","1.254633","1.254633"
"1546","1.6875609999999999","1.6875609999999999","1.6875609999999999"
"1842","3.496971","3.496971","3.496971"
"2086","0.354543","0.354543","0.354543"
"2304","2.447303","2.447303","2.447303"
"2516","4.4457889999999995","4.4457889999999995","4.4457889999999995"
"2715","2.082646","2.082646","2.082646"
"3013","2.907204","2.907204","2.907204"
"3266","3.533058","3.533058","3.533058"
"3564","0.374373","0.374373","0.374373"
"3860","0.951371","0.951371","0.951371"
"4139","2.7021010000000003","2.7021010000000003","2.7021010000000003"
"4416","4.744705","4.744705","4.744705"
"4682","4.749751","4.749751","4.749751"
"4978","2.5545479999999996","2.5545479999999996","2.5545479999999996"
"5231","1.633496","1.633496","1.633496"
"5495","0.689079","0.689079","0.689079"
"5748","0.358978","0.358978","0.358978"
"6044","1.650487","1.650487","1.650487"
"6282","3.984663","3.984663","3.984663"
"6578","1.209019","1.209019","1.209019"
"6850","0.7547670000000001","0.7547670000000001","0.7547670000000001"
"7081","2.034028","2.034028","2.034028"
"7308","1.692107","1.692107","1.692107"
"7587","1.7160119999999999","1.7160119999999999","1.7160119999999999"
"7885","1.87639","1.87639","1.87639"
"8112","1.301123","1.301123","1.301123"
"8358","2.515521","2.515521","2.515521"
"8617","1.495279","1.495279","1.495279"
"8855","1.680167","1.680167","1.680167"
"9062","2.073647","2.073647","2.073647"
"9276","1.173654","1.173654","1.173654"
"9522","1.692107","1.692107","1.692107"
"9742","2.2012080000000003","2.2012080000000003","2.2012080000000003"
"9962","2.1379","2.1379","2.1379"
"10247","1.129127","1.129127","1.129127"
"10500","7.964085","7.964085","7.964085"
"10798","0.992938","0.992938","0.992938"
"10997","0.992938","0.992938","0.992938"
"11230","2.596953","2.596953","2.596953"
"11457","4.384093","4.384093","4.384093"
"11671","2.2012080000000003","2.2012080000000003","2.2012080000000003"
"11898","0.374373","0.374373","0.374373"
"12105","1.0065330000000001","1.0065330000000001","1.0065330000000001"
"12403","3.575764","3.575764","3.575764"
"12643","1.866883","1.866883","1.866883"
