"Step","desert-sky-552 - latency/qsoload_q2-004","desert-sky-552 - latency/qsoload_q2-004__MIN","desert-sky-552 - latency/qsoload_q2-004__MAX"
"126","60","60","60"
"357","34.603413","34.603413","34.603413"
"655","22.529760999999997","22.529760999999997","22.529760999999997"
"947","32.343112","32.343112","32.343112"
"1226","60","60","60"
"1522","60","60","60"
"1818","60","60","60"
"2062","60","60","60"
"2280","60","60","60"
"2492","60","60","60"
"2691","38.322493","38.322493","38.322493"
"2989","10.73705","10.73705","10.73705"
"3242","18.955612000000002","18.955612000000002","18.955612000000002"
"3540","60","60","60"
"3836","20.154443","20.154443","20.154443"
"4115","60","60","60"
"4392","42.035154999999996","42.035154999999996","42.035154999999996"
"4658","60","60","60"
"4954","33.266690000000004","33.266690000000004","33.266690000000004"
"5207","60","60","60"
"5471","6.113713","6.113713","6.113713"
"5724","60","60","60"
"6020","60","60","60"
"6258","60","60","60"
"6554","33.714694","33.714694","33.714694"
"6826","60","60","60"
"7057","14.498404","14.498404","14.498404"
"7284","50.241364000000004","50.241364000000004","50.241364000000004"
"7563","8.293327","8.293327","8.293327"
"7861","2.901046","2.901046","2.901046"
"8088","15.042432000000002","15.042432000000002","15.042432000000002"
"8334","6.974707","6.974707","6.974707"
"8593","60","60","60"
"8831","46.079260999999995","46.079260999999995","46.079260999999995"
"9038","7.010229000000001","7.010229000000001","7.010229000000001"
"9252","6.19285","6.19285","6.19285"
"9498","7.179438","7.179438","7.179438"
"9718","10.028025","10.028025","10.028025"
"9938","18.066851","18.066851","18.066851"
"10223","37.122546","37.122546","37.122546"
"10476","2.528648","2.528648","2.528648"
"10774","56.979466","56.979466","56.979466"
"10973","29.950412","29.950412","29.950412"
"11206","23.242019","23.242019","23.242019"
"11433","11.33766","11.33766","11.33766"
"11647","18.909207","18.909207","18.909207"
"11874","3.511285","3.511285","3.511285"
"12081","60","60","60"
"12379","8.719999","8.719999","8.719999"
"12619","3.837231","3.837231","3.837231"
