"Step","desert-sky-552 - latency/qsoload_q16-003","desert-sky-552 - latency/qsoload_q16-003__MIN","desert-sky-552 - latency/qsoload_q16-003__MAX"
"120","60","60","60"
"351","60","60","60"
"649","19.706338","19.706338","19.706338"
"941","5.5425320000000005","5.5425320000000005","5.5425320000000005"
"1220","33.111324","33.111324","33.111324"
"1516","37.705438","37.705438","37.705438"
"1812","14.682101000000001","14.682101000000001","14.682101000000001"
"2056","15.036315","15.036315","15.036315"
"2274","13.795836","13.795836","13.795836"
"2486","19.64533","19.64533","19.64533"
"2685","12.248013","12.248013","12.248013"
"2983","60","60","60"
"3236","11.767372","11.767372","11.767372"
"3534","3.806304","3.806304","3.806304"
"3830","3.292443","3.292443","3.292443"
"4109","3.129053","3.129053","3.129053"
"4386","60","60","60"
"4652","36.289078","36.289078","36.289078"
"4948","60","60","60"
"5201","2.111701","2.111701","2.111701"
"5465","2.68428","2.68428","2.68428"
"5718","0.668736","0.668736","0.668736"
"6014","0.440827","0.440827","0.440827"
"6252","60","60","60"
"6548","60","60","60"
"6820","3.03165","3.03165","3.03165"
"7051","13.945712","13.945712","13.945712"
"7278","9.720242","9.720242","9.720242"
"7557","32.686123","32.686123","32.686123"
"7855","4.762651","4.762651","4.762651"
"8082","4.590583","4.590583","4.590583"
"8328","5.663539","5.663539","5.663539"
"8587","9.360433","9.360433","9.360433"
"8825","3.9653620000000003","3.9653620000000003","3.9653620000000003"
"9032","4.178362","4.178362","4.178362"
"9246","1.7209510000000001","1.7209510000000001","1.7209510000000001"
"9492","2.577811","2.577811","2.577811"
"9712","3.582267","3.582267","3.582267"
"9932","5.380902","5.380902","5.380902"
"10217","5.0067200000000005","5.0067200000000005","5.0067200000000005"
"10470","5.20311","5.20311","5.20311"
"10768","4.294651","4.294651","4.294651"
"10967","3.45477","3.45477","3.45477"
"11200","4.955438","4.955438","4.955438"
"11427","4.350315999999999","4.350315999999999","4.350315999999999"
"11641","2.5452220000000003","2.5452220000000003","2.5452220000000003"
"11868","2.856614","2.856614","2.856614"
"12075","53.605613","53.605613","53.605613"
"12373","4.760988","4.760988","4.760988"
"12613","0.6656230000000001","0.6656230000000001","0.6656230000000001"
