"Step","confused-terrain-544 - latency/qimdbload_3b2","confused-terrain-544 - latency/qimdbload_3b2__MIN","confused-terrain-544 - latency/qimdbload_3b2__MAX"
"58","19.884026000000002","19.884026000000002","19.884026000000002"
"265","2.346228","2.346228","2.346228"
"472","2.00377","2.00377","2.00377"
"680","1.783438","1.783438","1.783438"
"887","1.548478","1.548478","1.548478"
"1095","1.262278","1.262278","1.262278"
"1303","1.2267750000000002","1.2267750000000002","1.2267750000000002"
"1458","1.223298","1.223298","1.223298"
"1574","1.204739","1.204739","1.204739"
"1781","1.3878499999999998","1.3878499999999998","1.3878499999999998"
"1989","2.039332","2.039332","2.039332"
"2131","1.216254","1.216254","1.216254"
"2339","1.189427","1.189427","1.189427"
"2495","1.209204","1.209204","1.209204"
"2702","1.1402249999999998","1.1402249999999998","1.1402249999999998"
"2909","1.5228430000000002","1.5228430000000002","1.5228430000000002"
"3116","1.055091","1.055091","1.055091"
"3259","1.029412","1.029412","1.029412"
"3369","1.020549","1.020549","1.020549"
"3577","1.307647","1.307647","1.307647"
"3719","1.237671","1.237671","1.237671"
"3829","1.096691","1.096691","1.096691"
"3965","1.069941","1.069941","1.069941"
"4075","1.048991","1.048991","1.048991"
"4282","1.03754","1.03754","1.03754"
"4424","1.115864","1.115864","1.115864"
"4586","1.00594","1.00594","1.00594"
"4735","1.209316","1.209316","1.209316"
"4865","1.105221","1.105221","1.105221"
"5072","0.9047670000000001","0.9047670000000001","0.9047670000000001"
"5279","0.9729070000000001","0.9729070000000001","0.9729070000000001"
"5415","1.134505","1.134505","1.134505"
"5596","1.151071","1.151071","1.151071"
"5784","1.0105739999999999","1.0105739999999999","1.0105739999999999"
"5973","1.448316","1.448316","1.448316"
"6135","3.2536329999999998","3.2536329999999998","3.2536329999999998"
"6272","1.047835","1.047835","1.047835"
"6441","0.947245","0.947245","0.947245"
"6649","0.9890890000000001","0.9890890000000001","0.9890890000000001"
"6786","0.975384","0.975384","0.975384"
"6910","1.268866","1.268866","1.268866"
"7118","1.121559","1.121559","1.121559"
"7281","0.9486359999999999","0.9486359999999999","0.9486359999999999"
"7431","1.124472","1.124472","1.124472"
"7620","2.7805","2.7805","2.7805"
"7802","1.130941","1.130941","1.130941"
"7919","0.986458","0.986458","0.986458"
"8082","1.477768","1.477768","1.477768"
"8245","1.7467270000000001","1.7467270000000001","1.7467270000000001"
"8453","1.2614280000000002","1.2614280000000002","1.2614280000000002"
