"Step","confused-terrain-544 - latency/qimdbload_9a2","confused-terrain-544 - latency/qimdbload_9a2__MIN","confused-terrain-544 - latency/qimdbload_9a2__MAX"
"70","1.830202","1.830202","1.830202"
"277","3.470477","3.470477","3.470477"
"484","14.742137000000001","14.742137000000001","14.742137000000001"
"692","3.397047","3.397047","3.397047"
"899","3.1204699999999996","3.1204699999999996","3.1204699999999996"
"1107","3.645493","3.645493","3.645493"
"1315","4.9947","4.9947","4.9947"
"1470","4.602008","4.602008","4.602008"
"1586","1.6536659999999999","1.6536659999999999","1.6536659999999999"
"1793","1.675496","1.675496","1.675496"
"2001","1.941752","1.941752","1.941752"
"2143","6.1658729999999995","6.1658729999999995","6.1658729999999995"
"2351","1.548202","1.548202","1.548202"
"2507","1.977858","1.977858","1.977858"
"2714","1.6205180000000001","1.6205180000000001","1.6205180000000001"
"2921","1.66276","1.66276","1.66276"
"3128","1.607094","1.607094","1.607094"
"3271","1.7046649999999999","1.7046649999999999","1.7046649999999999"
"3381","1.792873","1.792873","1.792873"
"3589","1.730022","1.730022","1.730022"
"3731","1.863655","1.863655","1.863655"
"3841","1.827333","1.827333","1.827333"
"3977","1.731123","1.731123","1.731123"
"4087","1.799002","1.799002","1.799002"
"4294","1.8336510000000001","1.8336510000000001","1.8336510000000001"
"4436","2.19871","2.19871","2.19871"
"4598","2.1638249999999997","2.1638249999999997","2.1638249999999997"
"4747","1.715074","1.715074","1.715074"
"4877","1.783369","1.783369","1.783369"
"5084","1.8254949999999999","1.8254949999999999","1.8254949999999999"
"5291","1.8291389999999998","1.8291389999999998","1.8291389999999998"
"5427","1.819745","1.819745","1.819745"
"5608","1.883582","1.883582","1.883582"
"5796","2.128552","2.128552","2.128552"
"5985","1.754444","1.754444","1.754444"
"6147","1.762808","1.762808","1.762808"
"6284","1.846763","1.846763","1.846763"
"6453","1.828355","1.828355","1.828355"
"6661","1.798172","1.798172","1.798172"
"6798","1.890111","1.890111","1.890111"
"6922","1.753167","1.753167","1.753167"
"7130","1.715819","1.715819","1.715819"
"7293","1.7820319999999998","1.7820319999999998","1.7820319999999998"
"7443","1.812372","1.812372","1.812372"
"7632","1.823453","1.823453","1.823453"
"7814","1.725757","1.725757","1.725757"
"7931","1.7298820000000001","1.7298820000000001","1.7298820000000001"
"8094","1.748707","1.748707","1.748707"
"8257","1.7404220000000001","1.7404220000000001","1.7404220000000001"
"8465","1.821685","1.821685","1.821685"
