"Step","confused-terrain-544 - latency/qimdbload_9b2","confused-terrain-544 - latency/qimdbload_9b2__MIN","confused-terrain-544 - latency/qimdbload_9b2__MAX"
"72","5.052308","5.052308","5.052308"
"279","2.185397","2.185397","2.185397"
"486","3.689542","3.689542","3.689542"
"694","1.944922","1.944922","1.944922"
"901","1.785076","1.785076","1.785076"
"1109","1.330951","1.330951","1.330951"
"1317","1.3445909999999999","1.3445909999999999","1.3445909999999999"
"1472","1.2641010000000001","1.2641010000000001","1.2641010000000001"
"1588","1.354013","1.354013","1.354013"
"1795","1.2487739999999998","1.2487739999999998","1.2487739999999998"
"2003","3.223551","3.223551","3.223551"
"2145","1.47868","1.47868","1.47868"
"2353","1.465234","1.465234","1.465234"
"2509","1.3549559999999998","1.3549559999999998","1.3549559999999998"
"2716","1.291378","1.291378","1.291378"
"2923","1.636199","1.636199","1.636199"
"3130","1.316036","1.316036","1.316036"
"3273","1.126436","1.126436","1.126436"
"3383","1.146805","1.146805","1.146805"
"3591","1.4861010000000001","1.4861010000000001","1.4861010000000001"
"3733","1.1473710000000001","1.1473710000000001","1.1473710000000001"
"3843","1.3158910000000001","1.3158910000000001","1.3158910000000001"
"3979","1.1477629999999999","1.1477629999999999","1.1477629999999999"
"4089","1.1146749999999999","1.1146749999999999","1.1146749999999999"
"4296","1.295763","1.295763","1.295763"
"4438","1.3052629999999998","1.3052629999999998","1.3052629999999998"
"4600","1.154746","1.154746","1.154746"
"4749","1.1298409999999999","1.1298409999999999","1.1298409999999999"
"4879","1.511455","1.511455","1.511455"
"5086","1.1416469999999999","1.1416469999999999","1.1416469999999999"
"5293","1.331365","1.331365","1.331365"
"5429","1.276937","1.276937","1.276937"
"5610","1.339716","1.339716","1.339716"
"5798","1.7115609999999999","1.7115609999999999","1.7115609999999999"
"5987","1.133459","1.133459","1.133459"
"6149","1.4754909999999999","1.4754909999999999","1.4754909999999999"
"6286","1.377735","1.377735","1.377735"
"6455","1.229051","1.229051","1.229051"
"6663","1.106523","1.106523","1.106523"
"6800","1.2935619999999999","1.2935619999999999","1.2935619999999999"
"6924","1.573717","1.573717","1.573717"
"7132","1.366632","1.366632","1.366632"
"7295","1.3942439999999998","1.3942439999999998","1.3942439999999998"
"7445","1.330727","1.330727","1.330727"
"7634","1.457644","1.457644","1.457644"
"7816","1.519122","1.519122","1.519122"
"7933","1.515144","1.515144","1.515144"
"8096","1.487866","1.487866","1.487866"
"8259","1.130555","1.130555","1.130555"
"8467","1.8755920000000001","1.8755920000000001","1.8755920000000001"
