"Step","confused-terrain-544 - latency/qimdbload_11a2","confused-terrain-544 - latency/qimdbload_11a2__MIN","confused-terrain-544 - latency/qimdbload_11a2__MAX"
"41","8.293664000000001","8.293664000000001","8.293664000000001"
"248","3.01961","3.01961","3.01961"
"455","4.302839","4.302839","4.302839"
"663","6.111769000000001","6.111769000000001","6.111769000000001"
"870","11.516516","11.516516","11.516516"
"1078","3.382382","3.382382","3.382382"
"1286","2.575344","2.575344","2.575344"
"1441","3.7637840000000002","3.7637840000000002","3.7637840000000002"
"1557","2.397565","2.397565","2.397565"
"1764","1.835346","1.835346","1.835346"
"1972","2.775897","2.775897","2.775897"
"2114","4.853245","4.853245","4.853245"
"2322","2.868986","2.868986","2.868986"
"2478","3.159351","3.159351","3.159351"
"2685","3.016683","3.016683","3.016683"
"2892","2.3085590000000002","2.3085590000000002","2.3085590000000002"
"3099","2.632213","2.632213","2.632213"
"3242","2.059805","2.059805","2.059805"
"3352","2.600151","2.600151","2.600151"
"3560","5.172202","5.172202","5.172202"
"3702","4.3225240000000005","4.3225240000000005","4.3225240000000005"
"3812","3.981415","3.981415","3.981415"
"3948","2.028987","2.028987","2.028987"
"4058","1.997156","1.997156","1.997156"
"4265","2.298866","2.298866","2.298866"
"4407","2.2153090000000004","2.2153090000000004","2.2153090000000004"
"4569","2.7366509999999997","2.7366509999999997","2.7366509999999997"
"4718","3.4218249999999997","3.4218249999999997","3.4218249999999997"
"4848","4.005433","4.005433","4.005433"
"5055","9.378995000000002","9.378995000000002","9.378995000000002"
"5262","9.210174","9.210174","9.210174"
"5398","3.628197","3.628197","3.628197"
"5579","3.081655","3.081655","3.081655"
"5767","2.804635","2.804635","2.804635"
"5956","2.8595680000000003","2.8595680000000003","2.8595680000000003"
"6118","3.2421930000000003","3.2421930000000003","3.2421930000000003"
"6255","4.914683","4.914683","4.914683"
"6424","3.0197629999999998","3.0197629999999998","3.0197629999999998"
"6632","3.3269729999999997","3.3269729999999997","3.3269729999999997"
"6769","9.406718999999999","9.406718999999999","9.406718999999999"
"6893","7.68328","7.68328","7.68328"
"7101","4.550683","4.550683","4.550683"
"7264","3.272062","3.272062","3.272062"
"7414","3.2022370000000002","3.2022370000000002","3.2022370000000002"
"7603","3.22019","3.22019","3.22019"
"7785","3.169529","3.169529","3.169529"
"7902","3.311138","3.311138","3.311138"
"8065","2.520293","2.520293","2.520293"
"8228","3.086033","3.086033","3.086033"
"8436","3.843295","3.843295","3.843295"
