"Step","confused-terrain-544 - latency/qimdbload_11b2","confused-terrain-544 - latency/qimdbload_11b2__MIN","confused-terrain-544 - latency/qimdbload_11b2__MAX"
"43","30","30","30"
"250","3.8437669999999997","3.8437669999999997","3.8437669999999997"
"457","7.209274000000001","7.209274000000001","7.209274000000001"
"665","25.275533","25.275533","25.275533"
"872","5.334582999999999","5.334582999999999","5.334582999999999"
"1080","2.9718679999999997","2.9718679999999997","2.9718679999999997"
"1288","4.692189","4.692189","4.692189"
"1443","6.62849","6.62849","6.62849"
"1559","2.868201","2.868201","2.868201"
"1766","3.135289","3.135289","3.135289"
"1974","5.648702","5.648702","5.648702"
"2116","4.657649","4.657649","4.657649"
"2324","2.3034749999999997","2.3034749999999997","2.3034749999999997"
"2480","2.842158","2.842158","2.842158"
"2687","2.3257109999999996","2.3257109999999996","2.3257109999999996"
"2894","2.5470010000000003","2.5470010000000003","2.5470010000000003"
"3101","2.458449","2.458449","2.458449"
"3244","3.150423","3.150423","3.150423"
"3354","3.193154","3.193154","3.193154"
"3562","4.196676999999999","4.196676999999999","4.196676999999999"
"3704","3.365547","3.365547","3.365547"
"3814","3.6880889999999997","3.6880889999999997","3.6880889999999997"
"3950","4.107958","4.107958","4.107958"
"4060","6.229728","6.229728","6.229728"
"4267","2.853923","2.853923","2.853923"
"4409","1.614732","1.614732","1.614732"
"4571","2.6141199999999998","2.6141199999999998","2.6141199999999998"
"4720","1.550807","1.550807","1.550807"
"4850","3.148606","3.148606","3.148606"
"5057","3.2229430000000003","3.2229430000000003","3.2229430000000003"
"5264","6.607614","6.607614","6.607614"
"5400","3.3110239999999997","3.3110239999999997","3.3110239999999997"
"5581","30","30","30"
"5769","5.747913","5.747913","5.747913"
"5958","5.205564000000001","5.205564000000001","5.205564000000001"
"6120","2.5583180000000003","2.5583180000000003","2.5583180000000003"
"6257","2.8729250000000004","2.8729250000000004","2.8729250000000004"
"6426","7.057944","7.057944","7.057944"
"6634","2.562472","2.562472","2.562472"
"6771","2.7756570000000003","2.7756570000000003","2.7756570000000003"
"6895","3.038221","3.038221","3.038221"
"7103","2.896157","2.896157","2.896157"
"7266","3.027377","3.027377","3.027377"
"7416","2.6021289999999997","2.6021289999999997","2.6021289999999997"
"7605","2.737099","2.737099","2.737099"
"7787","3.093496","3.093496","3.093496"
"7904","2.833581","2.833581","2.833581"
"8067","1.9052390000000001","1.9052390000000001","1.9052390000000001"
"8230","2.017829","2.017829","2.017829"
"8438","2.593076","2.593076","2.593076"
