"Step","confused-terrain-544 - latency/qimdbload_15a_job_middle","confused-terrain-544 - latency/qimdbload_15a_job_middle__MIN","confused-terrain-544 - latency/qimdbload_15a_job_middle__MAX"
"44","1.135494","1.135494","1.135494"
"251","0.817718","0.817718","0.817718"
"458","2.3595990000000002","2.3595990000000002","2.3595990000000002"
"666","1.941932","1.941932","1.941932"
"873","1.1051849999999999","1.1051849999999999","1.1051849999999999"
"1081","1.035685","1.035685","1.035685"
"1289","1.756379","1.756379","1.756379"
"1444","1.02567","1.02567","1.02567"
"1560","1.229826","1.229826","1.229826"
"1767","2.115232","2.115232","2.115232"
"1975","2.018227","2.018227","2.018227"
"2117","2.316705","2.316705","2.316705"
"2325","1.4563730000000001","1.4563730000000001","1.4563730000000001"
"2481","1.317319","1.317319","1.317319"
"2688","1.5148540000000001","1.5148540000000001","1.5148540000000001"
"2895","0.809633","0.809633","0.809633"
"3102","1.144641","1.144641","1.144641"
"3245","1.148185","1.148185","1.148185"
"3355","0.93496","0.93496","0.93496"
"3563","0.806682","0.806682","0.806682"
"3705","0.786884","0.786884","0.786884"
"3815","0.7819400000000001","0.7819400000000001","0.7819400000000001"
"3951","0.895698","0.895698","0.895698"
"4061","1.012188","1.012188","1.012188"
"4268","1.436213","1.436213","1.436213"
"4410","1.6542999999999999","1.6542999999999999","1.6542999999999999"
"4572","2.468708","2.468708","2.468708"
"4721","1.916163","1.916163","1.916163"
"4851","1.182818","1.182818","1.182818"
"5058","3.1647399999999997","3.1647399999999997","3.1647399999999997"
"5265","1.544059","1.544059","1.544059"
"5401","1.3039100000000001","1.3039100000000001","1.3039100000000001"
"5582","1.4251340000000001","1.4251340000000001","1.4251340000000001"
"5770","1.112433","1.112433","1.112433"
"5959","0.976253","0.976253","0.976253"
"6121","0.6458809999999999","0.6458809999999999","0.6458809999999999"
"6258","0.779446","0.779446","0.779446"
"6427","1.028858","1.028858","1.028858"
"6635","0.654578","0.654578","0.654578"
"6772","0.6445270000000001","0.6445270000000001","0.6445270000000001"
"6896","0.829099","0.829099","0.829099"
"7104","0.719955","0.719955","0.719955"
"7267","0.7986369999999999","0.7986369999999999","0.7986369999999999"
"7417","0.6444840000000001","0.6444840000000001","0.6444840000000001"
"7606","0.627949","0.627949","0.627949"
"7788","0.714349","0.714349","0.714349"
"7905","0.715735","0.715735","0.715735"
"8068","0.6725399999999999","0.6725399999999999","0.6725399999999999"
"8231","0.741401","0.741401","0.741401"
"8439","0.660691","0.660691","0.660691"
