"Step","confused-terrain-544 - latency/qimdbload_9b1","confused-terrain-544 - latency/qimdbload_9b1__MIN","confused-terrain-544 - latency/qimdbload_9b1__MAX"
"71","2.8428829999999996","2.8428829999999996","2.8428829999999996"
"278","2.816052","2.816052","2.816052"
"485","2.499693","2.499693","2.499693"
"693","1.932788","1.932788","1.932788"
"900","1.556518","1.556518","1.556518"
"1108","1.395459","1.395459","1.395459"
"1316","1.3850129999999998","1.3850129999999998","1.3850129999999998"
"1471","1.418339","1.418339","1.418339"
"1587","1.348614","1.348614","1.348614"
"1794","1.275228","1.275228","1.275228"
"2002","1.468086","1.468086","1.468086"
"2144","2.255738","2.255738","2.255738"
"2352","1.527475","1.527475","1.527475"
"2508","1.880189","1.880189","1.880189"
"2715","3.358431","3.358431","3.358431"
"2922","1.382782","1.382782","1.382782"
"3129","1.148243","1.148243","1.148243"
"3272","1.1340329999999998","1.1340329999999998","1.1340329999999998"
"3382","1.152922","1.152922","1.152922"
"3590","1.271946","1.271946","1.271946"
"3732","1.163298","1.163298","1.163298"
"3842","1.289118","1.289118","1.289118"
"3978","1.264056","1.264056","1.264056"
"4088","1.287236","1.287236","1.287236"
"4295","1.6203940000000001","1.6203940000000001","1.6203940000000001"
"4437","1.170328","1.170328","1.170328"
"4599","1.1541810000000001","1.1541810000000001","1.1541810000000001"
"4748","1.1491040000000001","1.1491040000000001","1.1491040000000001"
"4878","1.310201","1.310201","1.310201"
"5085","1.23881","1.23881","1.23881"
"5292","1.2761369999999999","1.2761369999999999","1.2761369999999999"
"5428","1.158235","1.158235","1.158235"
"5609","1.2440170000000002","1.2440170000000002","1.2440170000000002"
"5797","1.659009","1.659009","1.659009"
"5986","1.197308","1.197308","1.197308"
"6148","1.33317","1.33317","1.33317"
"6285","1.453619","1.453619","1.453619"
"6454","2.33824","2.33824","2.33824"
"6662","1.3054590000000001","1.3054590000000001","1.3054590000000001"
"6799","1.707955","1.707955","1.707955"
"6923","1.2786520000000001","1.2786520000000001","1.2786520000000001"
"7131","1.518436","1.518436","1.518436"
"7294","1.419845","1.419845","1.419845"
"7444","1.2855450000000002","1.2855450000000002","1.2855450000000002"
"7633","1.358351","1.358351","1.358351"
"7815","1.9547670000000001","1.9547670000000001","1.9547670000000001"
"7932","1.447244","1.447244","1.447244"
"8095","1.455725","1.455725","1.455725"
"8258","1.1658199999999999","1.1658199999999999","1.1658199999999999"
"8466","1.599807","1.599807","1.599807"
