"Step","confused-terrain-544 - latency/qimdbload_3b1","confused-terrain-544 - latency/qimdbload_3b1__MIN","confused-terrain-544 - latency/qimdbload_3b1__MAX"
"57","6.987344","6.987344","6.987344"
"264","3.688852","3.688852","3.688852"
"471","1.8195899999999998","1.8195899999999998","1.8195899999999998"
"679","1.726135","1.726135","1.726135"
"886","1.885826","1.885826","1.885826"
"1094","1.788351","1.788351","1.788351"
"1302","2.828981","2.828981","2.828981"
"1457","1.307321","1.307321","1.307321"
"1573","1.3595730000000001","1.3595730000000001","1.3595730000000001"
"1780","1.429116","1.429116","1.429116"
"1988","4.027892","4.027892","4.027892"
"2130","1.93909","1.93909","1.93909"
"2338","2.291665","2.291665","2.291665"
"2494","1.5036859999999999","1.5036859999999999","1.5036859999999999"
"2701","2.830796","2.830796","2.830796"
"2908","3.014245","3.014245","3.014245"
"3115","2.985132","2.985132","2.985132"
"3258","1.558338","1.558338","1.558338"
"3368","2.729564","2.729564","2.729564"
"3576","4.34583","4.34583","4.34583"
"3718","2.7839699999999996","2.7839699999999996","2.7839699999999996"
"3828","1.147327","1.147327","1.147327"
"3964","1.315234","1.315234","1.315234"
"4074","1.213066","1.213066","1.213066"
"4281","1.2298499999999999","1.2298499999999999","1.2298499999999999"
"4423","1.162418","1.162418","1.162418"
"4585","1.11749","1.11749","1.11749"
"4734","1.218875","1.218875","1.218875"
"4864","1.171541","1.171541","1.171541"
"5071","1.186358","1.186358","1.186358"
"5278","1.213605","1.213605","1.213605"
"5414","1.075616","1.075616","1.075616"
"5595","1.217061","1.217061","1.217061"
"5783","1.1210719999999998","1.1210719999999998","1.1210719999999998"
"5972","1.827007","1.827007","1.827007"
"6134","3.0399589999999996","3.0399589999999996","3.0399589999999996"
"6271","1.124077","1.124077","1.124077"
"6440","1.328128","1.328128","1.328128"
"6648","1.967125","1.967125","1.967125"
"6785","1.0976210000000002","1.0976210000000002","1.0976210000000002"
"6909","1.1914069999999999","1.1914069999999999","1.1914069999999999"
"7117","1.297423","1.297423","1.297423"
"7280","1.0697260000000002","1.0697260000000002","1.0697260000000002"
"7430","2.032304","2.032304","2.032304"
"7619","1.164698","1.164698","1.164698"
"7801","1.303877","1.303877","1.303877"
"7918","1.2689190000000001","1.2689190000000001","1.2689190000000001"
"8081","1.515643","1.515643","1.515643"
"8244","1.24363","1.24363","1.24363"
"8452","1.190222","1.190222","1.190222"
