"Step","confused-terrain-544 - latency/qimdbload_2c241","confused-terrain-544 - latency/qimdbload_2c241__MIN","confused-terrain-544 - latency/qimdbload_2c241__MAX"
"52","19.015893","19.015893","19.015893"
"259","5.703829","5.703829","5.703829"
"466","1.093757","1.093757","1.093757"
"674","1.087214","1.087214","1.087214"
"881","2.3353260000000002","2.3353260000000002","2.3353260000000002"
"1089","2.036518","2.036518","2.036518"
"1297","3.05881","3.05881","3.05881"
"1452","4.710648","4.710648","4.710648"
"1568","2.1482930000000002","2.1482930000000002","2.1482930000000002"
"1775","1.730188","1.730188","1.730188"
"1983","0.9520879999999999","0.9520879999999999","0.9520879999999999"
"2125","3.21963","3.21963","3.21963"
"2333","14.637477","14.637477","14.637477"
"2489","1.333982","1.333982","1.333982"
"2696","1.718587","1.718587","1.718587"
"2903","1.042972","1.042972","1.042972"
"3110","1.105531","1.105531","1.105531"
"3253","1.861357","1.861357","1.861357"
"3363","1.853999","1.853999","1.853999"
"3571","1.98896","1.98896","1.98896"
"3713","1.772497","1.772497","1.772497"
"3823","2.040787","2.040787","2.040787"
"3959","0.9181309999999999","0.9181309999999999","0.9181309999999999"
"4069","1.086528","1.086528","1.086528"
"4276","1.063797","1.063797","1.063797"
"4418","1.061318","1.061318","1.061318"
"4580","0.987487","0.987487","0.987487"
"4729","1.8358420000000002","1.8358420000000002","1.8358420000000002"
"4859","1.21112","1.21112","1.21112"
"5066","4.782549","4.782549","4.782549"
"5273","1.78349","1.78349","1.78349"
"5409","0.964507","0.964507","0.964507"
"5590","1.005264","1.005264","1.005264"
"5778","0.9909519999999999","0.9909519999999999","0.9909519999999999"
"5967","1.023214","1.023214","1.023214"
"6129","1.756922","1.756922","1.756922"
"6266","1.223082","1.223082","1.223082"
"6435","0.835401","0.835401","0.835401"
"6643","1.106058","1.106058","1.106058"
"6780","0.844293","0.844293","0.844293"
"6904","1.666289","1.666289","1.666289"
"7112","1.192765","1.192765","1.192765"
"7275","1.076391","1.076391","1.076391"
"7425","0.944199","0.944199","0.944199"
"7614","0.929846","0.929846","0.929846"
"7796","0.93736","0.93736","0.93736"
"7913","0.957471","0.957471","0.957471"
"8076","0.8357380000000001","0.8357380000000001","0.8357380000000001"
"8239","7.6601040000000005","7.6601040000000005","7.6601040000000005"
"8447","0.938745","0.938745","0.938745"
