"Step","confused-terrain-544 - latency/qimdbload_10a2","confused-terrain-544 - latency/qimdbload_10a2__MIN","confused-terrain-544 - latency/qimdbload_10a2__MAX"
"39","1.6692280000000002","1.6692280000000002","1.6692280000000002"
"246","2.3750259999999996","2.3750259999999996","2.3750259999999996"
"453","2.402679","2.402679","2.402679"
"661","1.434175","1.434175","1.434175"
"868","1.3939249999999999","1.3939249999999999","1.3939249999999999"
"1076","1.4155250000000001","1.4155250000000001","1.4155250000000001"
"1284","1.382529","1.382529","1.382529"
"1439","1.374215","1.374215","1.374215"
"1555","1.3752149999999999","1.3752149999999999","1.3752149999999999"
"1762","2.335462","2.335462","2.335462"
"1970","1.366185","1.366185","1.366185"
"2112","1.421508","1.421508","1.421508"
"2320","1.496924","1.496924","1.496924"
"2476","1.977307","1.977307","1.977307"
"2683","1.458212","1.458212","1.458212"
"2890","1.778737","1.778737","1.778737"
"3097","1.4403599999999999","1.4403599999999999","1.4403599999999999"
"3240","1.172769","1.172769","1.172769"
"3350","1.149329","1.149329","1.149329"
"3558","1.4360350000000002","1.4360350000000002","1.4360350000000002"
"3700","1.158527","1.158527","1.158527"
"3810","1.160258","1.160258","1.160258"
"3946","1.154696","1.154696","1.154696"
"4056","1.1462539999999999","1.1462539999999999","1.1462539999999999"
"4263","1.1429770000000001","1.1429770000000001","1.1429770000000001"
"4405","1.186403","1.186403","1.186403"
"4567","1.5469249999999999","1.5469249999999999","1.5469249999999999"
"4716","1.1443379999999999","1.1443379999999999","1.1443379999999999"
"4846","1.1388","1.1388","1.1388"
"5053","1.143058","1.143058","1.143058"
"5260","1.2011859999999999","1.2011859999999999","1.2011859999999999"
"5396","1.185039","1.185039","1.185039"
"5577","1.210982","1.210982","1.210982"
"5765","1.184629","1.184629","1.184629"
"5954","1.199699","1.199699","1.199699"
"6116","1.1671230000000001","1.1671230000000001","1.1671230000000001"
"6253","1.181759","1.181759","1.181759"
"6422","1.173423","1.173423","1.173423"
"6630","1.183109","1.183109","1.183109"
"6767","1.176254","1.176254","1.176254"
"6891","1.202285","1.202285","1.202285"
"7099","1.209316","1.209316","1.209316"
"7262","1.189206","1.189206","1.189206"
"7412","1.162356","1.162356","1.162356"
"7601","1.158366","1.158366","1.158366"
"7783","1.1703620000000001","1.1703620000000001","1.1703620000000001"
"7900","1.190416","1.190416","1.190416"
"8063","1.747765","1.747765","1.747765"
"8226","1.199683","1.199683","1.199683"
"8434","1.1660899999999998","1.1660899999999998","1.1660899999999998"
