"Step","confused-terrain-544 - latency/qimdbload_9a1","confused-terrain-544 - latency/qimdbload_9a1__MIN","confused-terrain-544 - latency/qimdbload_9a1__MAX"
"69","5.179424","5.179424","5.179424"
"276","2.321123","2.321123","2.321123"
"483","3.16034","3.16034","3.16034"
"691","19.972102","19.972102","19.972102"
"898","2.028223","2.028223","2.028223"
"1106","2.132054","2.132054","2.132054"
"1314","2.916434","2.916434","2.916434"
"1469","3.2968029999999997","3.2968029999999997","3.2968029999999997"
"1585","2.003529","2.003529","2.003529"
"1792","2.4542100000000002","2.4542100000000002","2.4542100000000002"
"2000","1.684426","1.684426","1.684426"
"2142","1.816029","1.816029","1.816029"
"2350","1.656604","1.656604","1.656604"
"2506","1.75353","1.75353","1.75353"
"2713","1.996985","1.996985","1.996985"
"2920","1.774184","1.774184","1.774184"
"3127","2.078699","2.078699","2.078699"
"3270","1.851566","1.851566","1.851566"
"3380","1.869178","1.869178","1.869178"
"3588","2.057339","2.057339","2.057339"
"3730","1.8386230000000001","1.8386230000000001","1.8386230000000001"
"3840","1.8895119999999999","1.8895119999999999","1.8895119999999999"
"3976","1.8308019999999998","1.8308019999999998","1.8308019999999998"
"4086","1.8747049999999998","1.8747049999999998","1.8747049999999998"
"4293","1.877321","1.877321","1.877321"
"4435","1.9222110000000001","1.9222110000000001","1.9222110000000001"
"4597","2.001922","2.001922","2.001922"
"4746","1.8352149999999998","1.8352149999999998","1.8352149999999998"
"4876","1.865696","1.865696","1.865696"
"5083","1.922185","1.922185","1.922185"
"5290","2.979565","2.979565","2.979565"
"5426","1.935733","1.935733","1.935733"
"5607","3.107972","3.107972","3.107972"
"5795","2.046604","2.046604","2.046604"
"5984","1.883332","1.883332","1.883332"
"6146","1.907094","1.907094","1.907094"
"6283","2.5029679999999996","2.5029679999999996","2.5029679999999996"
"6452","3.170506","3.170506","3.170506"
"6660","1.964395","1.964395","1.964395"
"6797","1.8758510000000002","1.8758510000000002","1.8758510000000002"
"6921","1.965509","1.965509","1.965509"
"7129","1.8804100000000001","1.8804100000000001","1.8804100000000001"
"7292","1.977487","1.977487","1.977487"
"7442","2.189781","2.189781","2.189781"
"7631","1.8836400000000002","1.8836400000000002","1.8836400000000002"
"7813","1.849175","1.849175","1.849175"
"7930","1.9077080000000002","1.9077080000000002","1.9077080000000002"
"8093","2.173639","2.173639","2.173639"
"8256","1.8806610000000001","1.8806610000000001","1.8806610000000001"
"8464","1.8821780000000001","1.8821780000000001","1.8821780000000001"
