"Step","confused-terrain-544 - latency/qimdbload_2c242","confused-terrain-544 - latency/qimdbload_2c242__MIN","confused-terrain-544 - latency/qimdbload_2c242__MAX"
"53","6.539217","6.539217","6.539217"
"260","1.401185","1.401185","1.401185"
"467","0.944341","0.944341","0.944341"
"675","14.749870000000001","14.749870000000001","14.749870000000001"
"882","1.9354079999999998","1.9354079999999998","1.9354079999999998"
"1090","2.0341780000000003","2.0341780000000003","2.0341780000000003"
"1298","2.02861","2.02861","2.02861"
"1453","5.4814300000000005","5.4814300000000005","5.4814300000000005"
"1569","2.0135050000000003","2.0135050000000003","2.0135050000000003"
"1776","1.833319","1.833319","1.833319"
"1984","0.9034909999999999","0.9034909999999999","0.9034909999999999"
"2126","4.007253","4.007253","4.007253"
"2334","0.960472","0.960472","0.960472"
"2490","0.9043329999999999","0.9043329999999999","0.9043329999999999"
"2697","0.895248","0.895248","0.895248"
"2904","0.965401","0.965401","0.965401"
"3111","0.920411","0.920411","0.920411"
"3254","1.495238","1.495238","1.495238"
"3364","0.967831","0.967831","0.967831"
"3572","1.2257550000000001","1.2257550000000001","1.2257550000000001"
"3714","0.969101","0.969101","0.969101"
"3824","0.975664","0.975664","0.975664"
"3960","0.952218","0.952218","0.952218"
"4070","0.964272","0.964272","0.964272"
"4277","0.873535","0.873535","0.873535"
"4419","0.987351","0.987351","0.987351"
"4581","0.904478","0.904478","0.904478"
"4730","0.910402","0.910402","0.910402"
"4860","1.1205","1.1205","1.1205"
"5067","1.065216","1.065216","1.065216"
"5274","1.077877","1.077877","1.077877"
"5410","0.9202380000000001","0.9202380000000001","0.9202380000000001"
"5591","0.998816","0.998816","0.998816"
"5779","0.920877","0.920877","0.920877"
"5968","0.958579","0.958579","0.958579"
"6130","1.4272909999999999","1.4272909999999999","1.4272909999999999"
"6267","1.9390319999999999","1.9390319999999999","1.9390319999999999"
"6436","0.846823","0.846823","0.846823"
"6644","0.8376699999999999","0.8376699999999999","0.8376699999999999"
"6781","0.846934","0.846934","0.846934"
"6905","1.106082","1.106082","1.106082"
"7113","0.715999","0.715999","0.715999"
"7276","0.844797","0.844797","0.844797"
"7426","0.852105","0.852105","0.852105"
"7615","0.852547","0.852547","0.852547"
"7797","0.85582","0.85582","0.85582"
"7914","1.949386","1.949386","1.949386"
"8077","1.126935","1.126935","1.126935"
"8240","0.920121","0.920121","0.920121"
"8448","0.765485","0.765485","0.765485"
