"Step","confused-terrain-544 - latency/qimdbload_11a1","confused-terrain-544 - latency/qimdbload_11a1__MIN","confused-terrain-544 - latency/qimdbload_11a1__MAX"
"40","21.914592","21.914592","21.914592"
"247","30","30","30"
"454","6.640476","6.640476","6.640476"
"662","13.556201999999999","13.556201999999999","13.556201999999999"
"869","10.00036","10.00036","10.00036"
"1077","18.309404999999998","18.309404999999998","18.309404999999998"
"1285","30","30","30"
"1440","30","30","30"
"1556","30","30","30"
"1763","7.986485","7.986485","7.986485"
"1971","7.707615","7.707615","7.707615"
"2113","8.583762","8.583762","8.583762"
"2321","15.47357","15.47357","15.47357"
"2477","8.700513","8.700513","8.700513"
"2684","30","30","30"
"2891","30","30","30"
"3098","7.084707000000001","7.084707000000001","7.084707000000001"
"3241","30","30","30"
"3351","9.713004000000002","9.713004000000002","9.713004000000002"
"3559","30","30","30"
"3701","30","30","30"
"3811","30","30","30"
"3947","30","30","30"
"4057","30","30","30"
"4264","30","30","30"
"4406","30","30","30"
"4568","30","30","30"
"4717","13.151406000000001","13.151406000000001","13.151406000000001"
"4847","30","30","30"
"5054","30","30","30"
"5261","30","30","30"
"5397","30","30","30"
"5578","7.993228","7.993228","7.993228"
"5766","13.198497999999999","13.198497999999999","13.198497999999999"
"5955","30","30","30"
"6117","8.941469999999999","8.941469999999999","8.941469999999999"
"6254","10.09334","10.09334","10.09334"
"6423","8.987084999999999","8.987084999999999","8.987084999999999"
"6631","7.971746","7.971746","7.971746"
"6768","9.012393","9.012393","9.012393"
"6892","8.378227","8.378227","8.378227"
"7100","7.837071","7.837071","7.837071"
"7263","11.889578","11.889578","11.889578"
"7413","8.280602","8.280602","8.280602"
"7602","7.769531","7.769531","7.769531"
"7784","8.550379000000001","8.550379000000001","8.550379000000001"
"7901","8.241157","8.241157","8.241157"
"8064","7.7351220000000005","7.7351220000000005","7.7351220000000005"
"8227","8.136237","8.136237","8.136237"
"8435","8.035829","8.035829","8.035829"
