"Step","confused-terrain-544 - latency/qimdbload_7a63","confused-terrain-544 - latency/qimdbload_7a63__MIN","confused-terrain-544 - latency/qimdbload_7a63__MAX"
"65","3.680589","3.680589","3.680589"
"272","3.1752130000000003","3.1752130000000003","3.1752130000000003"
"479","4.737554","4.737554","4.737554"
"687","1.444334","1.444334","1.444334"
"894","1.78381","1.78381","1.78381"
"1102","2.777409","2.777409","2.777409"
"1310","2.185683","2.185683","2.185683"
"1465","1.806952","1.806952","1.806952"
"1581","1.615465","1.615465","1.615465"
"1788","2.7019729999999997","2.7019729999999997","2.7019729999999997"
"1996","1.793929","1.793929","1.793929"
"2138","2.3102139999999998","2.3102139999999998","2.3102139999999998"
"2346","1.398057","1.398057","1.398057"
"2502","1.548713","1.548713","1.548713"
"2709","6.006928","6.006928","6.006928"
"2916","1.578396","1.578396","1.578396"
"3123","1.777618","1.777618","1.777618"
"3266","1.189594","1.189594","1.189594"
"3376","1.510969","1.510969","1.510969"
"3584","1.2794960000000002","1.2794960000000002","1.2794960000000002"
"3726","1.316482","1.316482","1.316482"
"3836","1.365323","1.365323","1.365323"
"3972","1.507316","1.507316","1.507316"
"4082","1.3256130000000002","1.3256130000000002","1.3256130000000002"
"4289","1.2139849999999999","1.2139849999999999","1.2139849999999999"
"4431","1.7767629999999999","1.7767629999999999","1.7767629999999999"
"4593","1.6110719999999998","1.6110719999999998","1.6110719999999998"
"4742","1.19998","1.19998","1.19998"
"4872","1.19657","1.19657","1.19657"
"5079","1.267651","1.267651","1.267651"
"5286","1.255752","1.255752","1.255752"
"5422","1.285961","1.285961","1.285961"
"5603","1.2661900000000001","1.2661900000000001","1.2661900000000001"
"5791","4.587395000000001","4.587395000000001","4.587395000000001"
"5980","1.304532","1.304532","1.304532"
"6142","1.5074130000000001","1.5074130000000001","1.5074130000000001"
"6279","1.516285","1.516285","1.516285"
"6448","1.94354","1.94354","1.94354"
"6656","2.107614","2.107614","2.107614"
"6793","1.205983","1.205983","1.205983"
"6917","1.225335","1.225335","1.225335"
"7125","2.768195","2.768195","2.768195"
"7288","3.288348","3.288348","3.288348"
"7438","1.446641","1.446641","1.446641"
"7627","2.075215","2.075215","2.075215"
"7809","1.447925","1.447925","1.447925"
"7926","1.859575","1.859575","1.859575"
"8089","1.54299","1.54299","1.54299"
"8252","1.793611","1.793611","1.793611"
"8460","1.905576","1.905576","1.905576"
