"Step","confused-terrain-544 - latency/qimdbload_10a1","confused-terrain-544 - latency/qimdbload_10a1__MIN","confused-terrain-544 - latency/qimdbload_10a1__MAX"
"38","5.596776","5.596776","5.596776"
"245","5.92915","5.92915","5.92915"
"452","2.962583","2.962583","2.962583"
"660","3.109896","3.109896","3.109896"
"867","2.2541819999999997","2.2541819999999997","2.2541819999999997"
"1075","2.20663","2.20663","2.20663"
"1283","3.147592","3.147592","3.147592"
"1438","2.7636439999999998","2.7636439999999998","2.7636439999999998"
"1554","2.397332","2.397332","2.397332"
"1761","2.3378229999999998","2.3378229999999998","2.3378229999999998"
"1969","2.2835189999999996","2.2835189999999996","2.2835189999999996"
"2111","2.036513","2.036513","2.036513"
"2319","2.3204670000000003","2.3204670000000003","2.3204670000000003"
"2475","2.258774","2.258774","2.258774"
"2682","2.102049","2.102049","2.102049"
"2889","2.113324","2.113324","2.113324"
"3096","2.638909","2.638909","2.638909"
"3239","2.18933","2.18933","2.18933"
"3349","2.1461680000000003","2.1461680000000003","2.1461680000000003"
"3557","2.6778649999999997","2.6778649999999997","2.6778649999999997"
"3699","2.127084","2.127084","2.127084"
"3809","2.088464","2.088464","2.088464"
"3945","2.1632779999999996","2.1632779999999996","2.1632779999999996"
"4055","2.1143229999999997","2.1143229999999997","2.1143229999999997"
"4262","2.10109","2.10109","2.10109"
"4404","1.900858","1.900858","1.900858"
"4566","2.13983","2.13983","2.13983"
"4715","2.049035","2.049035","2.049035"
"4845","2.117083","2.117083","2.117083"
"5052","2.198247","2.198247","2.198247"
"5259","2.244702","2.244702","2.244702"
"5395","2.095643","2.095643","2.095643"
"5576","1.881825","1.881825","1.881825"
"5764","2.1614340000000003","2.1614340000000003","2.1614340000000003"
"5953","1.910043","1.910043","1.910043"
"6115","2.292712","2.292712","2.292712"
"6252","2.250684","2.250684","2.250684"
"6421","2.185735","2.185735","2.185735"
"6629","3.105605","3.105605","3.105605"
"6766","2.163907","2.163907","2.163907"
"6890","2.2262269999999997","2.2262269999999997","2.2262269999999997"
"7098","1.836519","1.836519","1.836519"
"7261","2.0775279999999996","2.0775279999999996","2.0775279999999996"
"7411","2.10993","2.10993","2.10993"
"7600","2.129537","2.129537","2.129537"
"7782","2.086856","2.086856","2.086856"
"7899","2.06702","2.06702","2.06702"
"8062","2.073154","2.073154","2.073154"
"8225","1.9423510000000002","1.9423510000000002","1.9423510000000002"
"8433","2.11688","2.11688","2.11688"
