"Step","confused-terrain-544 - latency/qimdbload_2b180","confused-terrain-544 - latency/qimdbload_2b180__MIN","confused-terrain-544 - latency/qimdbload_2b180__MAX"
"51","5.897082","5.897082","5.897082"
"258","4.378604999999999","4.378604999999999","4.378604999999999"
"465","13.303933","13.303933","13.303933"
"673","30","30","30"
"880","3.834629","3.834629","3.834629"
"1088","4.708893","4.708893","4.708893"
"1296","3.936201","3.936201","3.936201"
"1451","7.116359999999999","7.116359999999999","7.116359999999999"
"1567","1.710743","1.710743","1.710743"
"1774","1.824035","1.824035","1.824035"
"1982","7.155184","7.155184","7.155184"
"2124","1.104088","1.104088","1.104088"
"2332","1.56409","1.56409","1.56409"
"2488","1.0993199999999999","1.0993199999999999","1.0993199999999999"
"2695","1.100614","1.100614","1.100614"
"2902","1.081391","1.081391","1.081391"
"3109","1.106638","1.106638","1.106638"
"3252","1.158693","1.158693","1.158693"
"3362","1.135354","1.135354","1.135354"
"3570","1.106828","1.106828","1.106828"
"3712","1.116056","1.116056","1.116056"
"3822","1.126753","1.126753","1.126753"
"3958","1.0947","1.0947","1.0947"
"4068","1.09274","1.09274","1.09274"
"4275","1.155725","1.155725","1.155725"
"4417","1.235173","1.235173","1.235173"
"4579","1.020948","1.020948","1.020948"
"4728","1.147102","1.147102","1.147102"
"4858","1.223212","1.223212","1.223212"
"5065","1.1219469999999998","1.1219469999999998","1.1219469999999998"
"5272","1.0908399999999998","1.0908399999999998","1.0908399999999998"
"5408","1.155315","1.155315","1.155315"
"5589","1.0988440000000002","1.0988440000000002","1.0988440000000002"
"5777","1.387618","1.387618","1.387618"
"5966","1.118992","1.118992","1.118992"
"6128","1.802268","1.802268","1.802268"
"6265","1.4039490000000001","1.4039490000000001","1.4039490000000001"
"6434","1.047813","1.047813","1.047813"
"6642","1.154585","1.154585","1.154585"
"6779","1.1930180000000001","1.1930180000000001","1.1930180000000001"
"6903","1.22263","1.22263","1.22263"
"7111","0.9638519999999999","0.9638519999999999","0.9638519999999999"
"7274","1.242692","1.242692","1.242692"
"7424","1.3091220000000001","1.3091220000000001","1.3091220000000001"
"7613","1.069692","1.069692","1.069692"
"7795","0.986822","0.986822","0.986822"
"7912","2.437018","2.437018","2.437018"
"8075","1.040229","1.040229","1.040229"
"8238","0.949053","0.949053","0.949053"
"8446","0.974383","0.974383","0.974383"
