"Step","confused-terrain-544 - latency/qimdbload_8a6","confused-terrain-544 - latency/qimdbload_8a6__MIN","confused-terrain-544 - latency/qimdbload_8a6__MAX"
"68","2.9501329999999997","2.9501329999999997","2.9501329999999997"
"275","2.991999","2.991999","2.991999"
"482","2.015681","2.015681","2.015681"
"690","2.695733","2.695733","2.695733"
"897","1.530267","1.530267","1.530267"
"1105","1.327454","1.327454","1.327454"
"1313","2.038354","2.038354","2.038354"
"1468","1.239599","1.239599","1.239599"
"1584","1.020172","1.020172","1.020172"
"1791","9.540253","9.540253","9.540253"
"1999","1.76525","1.76525","1.76525"
"2141","2.717341","2.717341","2.717341"
"2349","1.23395","1.23395","1.23395"
"2505","1.181134","1.181134","1.181134"
"2712","1.2363330000000001","1.2363330000000001","1.2363330000000001"
"2919","1.187406","1.187406","1.187406"
"3126","1.163589","1.163589","1.163589"
"3269","1.1653019999999998","1.1653019999999998","1.1653019999999998"
"3379","1.092059","1.092059","1.092059"
"3587","1.513577","1.513577","1.513577"
"3729","1.18933","1.18933","1.18933"
"3839","1.267841","1.267841","1.267841"
"3975","1.209889","1.209889","1.209889"
"4085","1.222507","1.222507","1.222507"
"4292","1.183878","1.183878","1.183878"
"4434","1.111492","1.111492","1.111492"
"4596","1.073727","1.073727","1.073727"
"4745","1.123439","1.123439","1.123439"
"4875","1.018244","1.018244","1.018244"
"5082","1.1762439999999998","1.1762439999999998","1.1762439999999998"
"5289","1.4298810000000002","1.4298810000000002","1.4298810000000002"
"5425","1.1401880000000002","1.1401880000000002","1.1401880000000002"
"5606","1.1087339999999999","1.1087339999999999","1.1087339999999999"
"5794","1.6923050000000002","1.6923050000000002","1.6923050000000002"
"5983","1.590178","1.590178","1.590178"
"6145","1.41683","1.41683","1.41683"
"6282","2.176169","2.176169","2.176169"
"6451","1.152198","1.152198","1.152198"
"6659","1.083435","1.083435","1.083435"
"6796","1.130613","1.130613","1.130613"
"6920","1.190964","1.190964","1.190964"
"7128","1.345566","1.345566","1.345566"
"7291","1.1404320000000001","1.1404320000000001","1.1404320000000001"
"7441","1.525282","1.525282","1.525282"
"7630","1.380997","1.380997","1.380997"
"7812","1.079699","1.079699","1.079699"
"7929","3.18019","3.18019","3.18019"
"8092","1.302654","1.302654","1.302654"
"8255","1.097932","1.097932","1.097932"
"8463","4.691339","4.691339","4.691339"
