"Step","confused-terrain-544 - latency/qimdbload_2a5","confused-terrain-544 - latency/qimdbload_2a5__MIN","confused-terrain-544 - latency/qimdbload_2a5__MAX"
"49","6.026321","6.026321","6.026321"
"256","4.45802","4.45802","4.45802"
"463","11.896058","11.896058","11.896058"
"671","4.674018","4.674018","4.674018"
"878","6.152578","6.152578","6.152578"
"1086","3.331402","3.331402","3.331402"
"1294","3.456542","3.456542","3.456542"
"1449","1.665406","1.665406","1.665406"
"1565","2.167606","2.167606","2.167606"
"1772","3.507939","3.507939","3.507939"
"1980","7.218103","7.218103","7.218103"
"2122","1.476035","1.476035","1.476035"
"2330","2.058987","2.058987","2.058987"
"2486","1.143372","1.143372","1.143372"
"2693","1.143475","1.143475","1.143475"
"2900","1.164394","1.164394","1.164394"
"3107","1.262005","1.262005","1.262005"
"3250","1.305218","1.305218","1.305218"
"3360","1.254294","1.254294","1.254294"
"3568","1.329242","1.329242","1.329242"
"3710","1.2157660000000001","1.2157660000000001","1.2157660000000001"
"3820","1.22638","1.22638","1.22638"
"3956","1.1641590000000002","1.1641590000000002","1.1641590000000002"
"4066","1.19699","1.19699","1.19699"
"4273","1.196591","1.196591","1.196591"
"4415","1.896812","1.896812","1.896812"
"4577","1.208385","1.208385","1.208385"
"4726","1.157299","1.157299","1.157299"
"4856","1.144321","1.144321","1.144321"
"5063","1.2724849999999999","1.2724849999999999","1.2724849999999999"
"5270","2.027062","2.027062","2.027062"
"5406","1.167895","1.167895","1.167895"
"5587","1.3125","1.3125","1.3125"
"5775","2.082434","2.082434","2.082434"
"5964","1.8468879999999999","1.8468879999999999","1.8468879999999999"
"6126","1.268913","1.268913","1.268913"
"6263","1.348365","1.348365","1.348365"
"6432","1.2544380000000002","1.2544380000000002","1.2544380000000002"
"6640","1.2877370000000001","1.2877370000000001","1.2877370000000001"
"6777","1.383507","1.383507","1.383507"
"6901","1.377206","1.377206","1.377206"
"7109","2.102232","2.102232","2.102232"
"7272","1.259126","1.259126","1.259126"
"7422","1.6536590000000002","1.6536590000000002","1.6536590000000002"
"7611","1.3342019999999999","1.3342019999999999","1.3342019999999999"
"7793","1.7972439999999998","1.7972439999999998","1.7972439999999998"
"7910","1.697978","1.697978","1.697978"
"8073","1.4902950000000001","1.4902950000000001","1.4902950000000001"
"8236","1.3493789999999999","1.3493789999999999","1.3493789999999999"
"8444","1.882158","1.882158","1.882158"
